902020014,D20,1,20250106,0737045,01,1,4534551012923,Ï-ËÞ-¶ÝÐØÖ³ ´·¼ÞÖ³                  620G,00001,000000663,000000663,00000000,271004,4K04
902020014,D20,1,20250106,0737046,01,1,4534551012350,Ï-ËÞ- Ã²¶ÛØ-¼ÞÔÑ(ËÞÝHABA 1235½ÄÛÍÞØ-230G,00001,000000419,000000419,00000000,250807,4H07
902020014,D20,1,20250106,0739067,01,1,4987616003631,ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX5,00002,000001081,000002162,00000000,2907,PS7H10B-1
902020014,D20,1,20250106,0739068,01,1,4987616003655,µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ,00001,000009672,000009672,00010879,2702,PP5L972
902020014,D20,1,20250106,0739360,01,1,4987614419618,ÓÝÃÙ¶½ÄÁÕ±ÌÞÙ¼ÞÖ³5MG   5MG PTP      100T,00001,000001742,000001742,00001960,2610,L0280
902020014,D20,1,20250106,0739427,01,1,4987086471282,Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T,00001,000000863,000000863,00000980,2706,K240081
902020014,D20,1,20250106,0740342,01,9,0410980576301,Ä³Ô¸ËÞÝ ºÊÞÝ¶ÞÀ                200MLX100,00001,000003556,000003556,00000000,,
902020014,D20,1,20250106,0740360,01,1,4987155152074,´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP,00001,000001798,000001798,00002070,2706,D0673
902020014,D20,1,20250106,0740726,01,1,4987616003631,ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX5,00001,000001081,000001081,00000000,2907,PS7H16B-1
902020014,D20,1,20250106,0740727,01,1,4987616003655,µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ,00001,000009672,000009672,00010879,2702,PP5L972
902020014,D20,1,20250106,0740805,01,1,4987086471282,Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T,00001,000000863,000000863,00000980,2708,K240091
